Date,TradeVolume,TradeValue,Open,High,Low,Close,Change,Transaction,MA_5,MA_20,MA_60,MA_120,EMA_12,EMA_26,DIF,DEM,OSC,BIAS_5,BIAS_20,BIAS_60,BIAS_120
2020-04-30,58439085,17753466901,302.0,305.0,301.5,304.5,5.5,26219,298.4,290.1,299.8,0.0,295.55544617378456,292.08667468898494,3.4687714847996176,1.5143115740530975,1.9544599107465201,0.020442359249329835,0.049638055842812744,0.015677118078719108,0.0
2020-05-04,72252861,21341931218,294.5,296.5,294.0,295.0,-9.5,37736,298.6,291.275,299.3,0.0,295.4699926948024,292.30305411014336,3.1669385846590217,1.844836987580295,1.3221015970787267,-0.012056262558606907,0.012788601836752289,-0.014366855997327134,0.0
2020-05-05,23988405,7104774785,296.5,298.0,295.0,295.5,0.5,13569,298.1,292.275,298.76666666666665,0.0,295.47460921341855,292.54045162646514,2.934157586953404,2.062701113469488,0.8714564734839159,-0.008721905400872266,0.011034128817038826,-0.010933839116367238,0.0
2020-05-06,35704479,10524838077,294.5,296.0,292.5,296.0,0.5,16046,298.0,292.925,298.15833333333336,0.0,295.555438715192,292.7973022342103,2.7581364809817046,2.2017881900437515,0.5563482909379531,-0.006711409395973154,0.010497567636767052,-0.007238883143743625,0.0
2020-05-07,28017198,8321170642,294.5,299.0,294.5,297.5,1.5,13149,297.7,293.55,297.65,0.0,295.8546024595157,293.14638988010995,2.7082125794057674,2.303073069705704,0.4051395097000636,-0.0006718172657036904,0.013455970022142697,-0.0005039475894506207,0.0
2020-05-08,35613893,10619091212,300.0,300.0,296.0,297.5,0.0,14345,296.3,294.275,297.15,0.0,296.1077408789882,293.4695134532087,2.638227425779462,2.3701039418679217,0.2681234839115403,0.004049949375632766,0.010959136861779026,0.0011778563015312899,0.0
2020-05-11,32379019,9729431840,300.0,301.5,298.5,301.0,3.5,14920,297.5,295.35,296.64166666666665,0.0,296.86039697451395,294.0283424232268,2.8320545512871718,2.4624940647965023,0.3695604864906694,0.011764705882352941,0.019129845945488326,0.014692249346855124,0.0
2020-05-12,52494788,15553012596,297.5,298.5,295.0,295.0,-6.0,29073,297.4,296.175,295.975,0.0,296.5741817830958,294.1004383244923,2.473743458603508,2.4647439435782568,0.008999515025251092,-0.008069939475453859,-0.00396724909259732,-0.0032941971450292174,0.0
2020-05-13,46158418,13619538824,293.0,297.0,292.5,297.0,2.0,14555,297.6,296.775,295.34166666666664,0.0,296.63969233073385,294.31555569799383,2.3241366327400215,2.4366224812070945,-0.11248584846707299,-0.002016129032258141,0.0007581501137225937,0.005614965717671713,0.0
2020-05-14,34480948,10119787160,293.0,295.0,292.5,293.0,-4.0,21482,296.7,297.05,294.64166666666665,0.0,296.07973928309855,294.2179663989728,1.8617728841257417,2.3216525611251937,-0.459879676999452,-0.012470508931580684,-0.013634068338663562,-0.005571739683796651,0.0
2020-05-15,44304804,13170466660,297.5,298.5,294.5,298.0,5.0,20071,296.8,297.625,294.0833333333333,0.0,296.3751641790267,294.49849160256997,1.8766725764567127,2.232656563779296,-0.3559839873225834,0.00404312668463608,0.00125997480050399,0.013318220459053622,0.0
2020-05-18,96872065,28216346996,291.0,293.5,290.0,290.0,-8.0,49640,294.6,296.8,293.55,0.0,295.3943692116789,294.16485752163436,1.2295116900445464,2.0320275882889463,-0.8025158982443998,-0.015614392396469865,-0.022911051212938044,-0.01209334014648275,0.0
2020-05-19,53083214,15527338138,294.0,294.0,291.5,291.5,1.5,22033,293.9,296.175,292.96666666666664,0.0,294.7952352395957,293.9672344397482,0.828000799847473,1.7912222298868379,-0.9632214300393649,-0.008166042871725,-0.01578458681522752,-0.005006257822277757,0.0
2020-05-20,36789994,10772280152,293.0,294.0,291.0,294.0,2.5,16906,293.3,296.125,292.44166666666666,0.0,294.67289131386667,293.96966409359925,0.7032272202674221,1.5736232274469357,-0.8703960071795136,0.002386634844868696,-0.007176023638666104,0.0053286980309463555,0.0
2020-05-21,36299468,10782482962,296.0,298.0,295.0,297.5,3.5,17064,294.2,296.3,291.98333333333335,0.0,295.10783124022333,294.23142736094337,0.8764038792799624,1.434179357548997,-0.5577754782690345,0.011216859279401806,0.004049949375632766,0.01889377247559787,0.0
2020-05-22,41138923,12025339565,294.5,295.0,291.0,292.0,-5.5,22345,293.0,296.125,291.51666666666665,0.0,294.629703237594,294.0659861027115,0.563717134882495,1.2600869127514749,-0.6963697778689799,-0.0034129692832764505,-0.013929928239763613,0.0016579955405637706,0.0
2020-05-25,32942223,9568008388,290.5,293.0,288.5,292.0,0.0,14585,293.4,296.025,291.01666666666665,0.0,294.2251334231613,293.9128212186126,0.3123122045487321,1.0705319708807748,-0.7582197663320427,-0.0047716428084525475,-0.013596824592517449,0.0033789588225188083,0.0
2020-05-26,35817481,10609868646,295.0,297.5,293.5,295.5,3.5,19524,294.2,295.9,290.6333333333333,0.0,294.4212667777776,294.0304816859838,0.39078509179381626,0.9345825949313308,-0.5437975031375145,0.004418762746431038,-0.0013518080432577807,0.016745039568757912,0.0
2020-05-27,23375959,6932934823,297.0,298.0,295.5,296.5,1.0,11244,294.7,295.9,290.30833333333334,0.0,294.74107193731965,294.213541024727,0.5275309125926242,0.853172258400328,-0.32564134580770376,0.006107906345436075,0.002027712064886863,0.02132789849872261,0.0
2020-05-28,32395568,9575118830,298.5,298.5,293.0,294.0,-2.5,13208,294.0,295.65,290.025,0.0,294.6270608554303,294.19771259846385,0.42934825696642065,0.7684074580608522,-0.33905920109443155,0.0,-0.005580923389142491,0.013705715024566927,0.0
2020-05-29,96611181,28172174547,292.0,292.5,290.0,292.0,-2.0,21037,294.0,295.025,289.6,0.0,294.22289760308047,294.0348183272381,0.1880792758423695,0.6523418215594335,-0.46426254571706405,-0.006802721088435374,-0.010253368358613601,0.00828729281767948,0.0
2020-06-01,37936214,11205227094,294.0,296.5,293.5,295.5,3.5,15502,294.7,295.05,289.18333333333334,0.0,294.41937491294016,294.1434124903697,0.27596242257044423,0.5770659417316866,-0.30110351916124234,0.002714625042416055,0.0015251652262328033,0.021843121433923102,0.0
2020-06-02,26663587,7908476089,296.0,297.5,296.0,296.5,1.0,9743,294.9,295.1,288.7416666666667,0.0,294.73947110502945,294.31806713688803,0.4214039681414192,0.5459335470037241,-0.12452957886230487,0.005425567989148942,0.00474415452389013,0.02686946232214491,0.0
2020-06-03,67894337,20354971677,300.0,301.0,298.0,301.0,4.5,33062,295.8,295.35,288.5083333333333,0.0,295.70262945983103,294.81326825186125,0.8893612079697846,0.6146190792144255,0.2747421287553591,0.017579445571331943,0.019129845945488326,0.04329742064065165,0.0
2020-06-04,47225322,14414983532,305.0,306.0,304.0,306.0,5.0,24482,298.2,295.775,288.51666666666665,0.0,297.2868404002181,295.6422919178566,1.6445484823615288,0.8206049598858061,0.8239435224757228,0.026156941649899436,0.03457019694024182,0.060597308070013345,0.0
2020-06-05,44077262,13655618646,308.5,312.0,308.0,311.5,5.5,24096,302.1,296.475,288.59166666666664,0.0,299.4734804414856,296.8174316020659,2.656048839419725,1.1876937358524116,1.4683551035673135,0.031115524660708296,0.050678809343114854,0.07937974646992589,0.0
2020-06-08,52042921,16500836851,316.0,319.0,315.0,318.0,6.5,28581,306.6,297.325,288.85833333333335,0.0,302.32371433314455,298.387122516751,3.936591816393559,1.737473352032316,2.199118464361243,0.0371819960861056,0.06953670226183474,0.10088567059977492,0.0
2020-06-09,37068082,11746874522,316.5,319.0,314.0,319.0,1.0,19981,311.1,298.525,289.275,0.0,304.88929682982075,299.91455353741014,4.974743292410608,2.3849273401755013,2.5898159522351065,0.025393764063002176,0.06858722050079566,0.10275689223057653,0.0
2020-06-10,42207259,13566733306,319.0,324.0,318.0,322.5,3.5,22670,315.4,299.8,289.81666666666666,0.0,307.59863585627494,301.58810877466055,6.010527081614384,3.1100472885237793,2.900479793090605,0.02251109701965765,0.07571714476317541,0.11277244234861121,0.0
2020-06-11,50612255,16340456218,325.5,327.0,318.5,320.5,-2.0,27061,318.3,301.175,290.55,0.0,309.58346115700795,302.9894231582267,6.594037998781232,3.806845430621781,2.787192568159451,0.006911718504555415,0.06416535236988458,0.10308036482533123,0.0
2020-06-12,46970918,14811252573,313.0,317.5,312.5,316.0,-4.5,25263,319.2,302.075,291.35,0.0,310.57062099914475,303.953445756266,6.617175242878773,4.368911393103193,2.2482638497755794,-0.010025062656641569,0.046097823388231436,0.08460614381328291,0.0
2020-06-15,51032404,15955585136,316.0,317.5,308.5,309.5,-6.5,29255,317.5,303.05,292.175,0.0,310.4059100733562,304.36441063530174,6.041499438054473,4.7034290021077405,1.3380704359467321,-0.025196850393700787,0.021283616564923242,0.05929665440232733,0.0
2020-06-16,40725216,12823172756,317.0,317.0,314.0,315.0,5.5,19377,316.7,304.225,293.2916666666667,0.0,311.1126931493169,305.15242560889516,5.960267540421739,4.954796709779131,1.0054708306426088,-0.005367856015156263,0.03541786506697338,0.07401619548231277,0.0
2020-06-17,34692968,10922017056,316.5,317.0,313.5,315.0,0.0,16218,315.2,305.275,294.0416666666667,0.0,311.71074036450545,305.88204148615637,5.828698878349087,5.129577143497901,0.699121734851186,-0.0006345177664974259,0.031856522807304964,0.07127674649284392,0.0
2020-06-18,35443474,11123108346,314.5,315.0,313.0,314.5,0.0,11897,314.0,306.125,295.03333333333336,0.0,312.1398572359921,306.52054322981814,5.6193140061739655,5.227524516035256,0.39178949013870934,0.0015923566878980893,0.02735810534912209,0.0659812450570556,0.0
2020-06-19,48130280,15102300186,314.0,314.5,312.0,314.5,0.0,12915,313.7,307.25,295.81666666666666,0.0,312.50295612597546,307.1117293640097,5.391226761965754,5.2602649652219275,0.13096179674382658,0.0025502072043353885,0.023596419853539462,0.06315848780212971,0.0
