,Date,Open,High,Low,close,MA_5,MA_20,MA_60,MA_120
455,2020-11-18,13628.42,13773.29,13608.72,13773.29,13482.648000000001,13028.753,12820.539,12450.443166666666
456,2020-11-19,13775.26,13785.92,13700.04,13722.43,13582.778,13069.023000000001,12838.460666666668,12473.595166666666
457,2020-11-20,13702.59,13726.22,13666.07,13716.44,13671.4,13109.904,12854.4305,12496.714166666667
458,2020-11-23,13793.55,13921.16,13793.55,13878.01,13736.635999999999,13158.353,12871.8425,12520.039083333333
459,2020-11-24,13918.84,13951.17,13798.32,13807.13,13779.460000000001,13204.958999999999,12888.672833333336,12542.36575
460,2020-11-25,13860.95,13893.2,13731.81,13738.83,13772.568,13252.213,12905.505833333333,12562.521333333332
461,2020-11-26,13763.79,13856.76,13763.79,13845.66,13797.214000000002,13311.3505,12926.409333333335,12582.95825
462,2020-11-27,13833.21,13885.01,13811.81,13867.09,13827.344000000001,13377.388,12945.806166666667,12602.855666666666
463,2020-11-30,13917.65,13969.39,13722.89,13722.89,13796.319999999998,13433.967,12962.862666666666,12620.460416666667
464,2020-12-01,13810.55,13885.67,13749.71,13885.67,13812.028,13491.45,12981.657666666666,12639.198416666668
465,2020-12-02,13970.51,13995.7,13894.7,13989.14,13862.09,13547.511999999999,13004.1775,12658.106583333334
466,2020-12-03,13988.49,14049.58,13940.07,13977.09,13888.376,13600.426500000001,13027.105666666668,12678.450916666665
467,2020-12-04,14010.17,14149.56,14010.17,14132.44,13941.446,13658.372,13051.587,12700.97175
468,2020-12-07,14230.0,14306.87,14142.02,14256.6,14048.188,13714.8285,13079.054,12725.557916666667
469,2020-12-08,14251.94,14367.0,14184.58,14360.4,14143.134,13778.7625,13106.864833333333,12749.297583333335
470,2020-12-09,14336.69,14427.41,14336.69,14390.14,14223.333999999999,13835.16,13135.434666666666,12773.093833333334
471,2020-12-10,14295.15,14319.38,14191.85,14249.49,14277.814000000002,13886.545499999998,13159.795833333334,12795.6035
472,2020-12-11,14298.59,14353.17,14081.42,14261.69,14303.664,13935.963500000002,13183.3965,12818.202083333334
473,2020-12-14,14238.92,14270.34,14182.25,14211.05,14294.553999999998,13968.9245,13203.967999999999,12840.186416666666
474,2020-12-15,14206.33,14256.55,14053.35,14068.52,14236.178,13992.7,13223.897666666666,12860.654416666666
475,2020-12-16,14145.24,14339.5,14145.24,14304.46,14219.042000000001,14019.258500000002,13247.711666666666,12882.686
476,2020-12-17,14326.16,14338.4,14213.49,14258.93,14220.929999999998,14046.083500000002,13272.1085,12905.321916666666
477,2020-12-18,14268.13,14329.12,14245.6,14249.96,14218.583999999999,14072.7595,13298.849333333334,12927.227916666667
